root_rustsec_id,root_cve_id,root_target_crate,hop,upstream_crate,upstream_fix_version,upstream_fix_time,downstream_crate,downstream_version,downstream_time,lag_days,dep_req,repo_url,pr_url,pr_merged_at,align_method,align_sha,status
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,acme-client,0.3.0,2017-02-22 18:39:14.695609 UTC,108,^0.9,https://github.com/onur/acme-client,https://github.com/onur/acme-client/pull/6,2016-12-06T08:39:43Z,search_window,366c8c017a26056ddf621f780f341d377d092410,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,atarashii_imap,0.3.0,2017-05-16 04:35:19.832153 UTC,191,^0.9.12,https://github.com/GildedHonour/atarashii_imap,,,,,not_found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,aws-sdk-rust,0.1.40,2017-02-15 18:22:40.640407 UTC,101,^0.9,https://github.com/lambdastackio/aws-sdk-rust,https://github.com/lambdastackio/aws-sdk-rust/pull/3,2017-02-15T18:12:23Z,search_window,,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,cargo,0.15.0,2016-12-25 16:00:07.282341 UTC,49,^0.9,https://github.com/rust-lang/cargo,https://github.com/rust-lang/cargo/pull/3272,2016-11-15T01:10:47Z,search_window,298a0127f703d4c2500bb06d309488b92ef84ae1,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,cookie,0.4.0,2016-11-21 15:59:01.919892 UTC,15,^0.9.0,https://github.com/SergioBenitez/cookie-rs,,,tag_exact_no_pr,c453341cd18014f34aa0e1f50c53cb841476e943,commit_found_no_pr
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,crypto-hash,0.2.0,2016-11-07 01:29:37.740796 UTC,0,^0.9,https://github.com/malept/crypto-hash,,,tag_exact_no_pr,166b624d2f887ca1a504c674578e2e0155c5118b,commit_found_no_pr
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,dockworker,0.0.9,2019-02-14 02:38:00.547262 UTC,829,^0.10,https://github.com/Idein/dockworker,https://github.com/Idein/dockworker/pull/10,2018-09-05T08:53:20Z,search_window,b26b3dbde3b121fc76473e09b486c793d55dbe75,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,frank_jwt,2.5.0,2017-05-16 04:06:13.041307 UTC,191,^0.9.12,https://github.com/GildedHonour/frank_jwt,,,,,not_found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,ftp,3.0.0,2018-02-28 19:37:43.125459 UTC,479,^0.9,https://github.com/mattnenterprise/rust-ftp,https://github.com/mattnenterprise/rust-ftp/pull/69,2018-02-08T23:04:48Z,search_window,71702cca2cc73c0c6b895a075ad667b4f4f86be6,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,imap,0.3.1,2017-05-03 01:56:34.963340 UTC,177,^0.9,https://github.com/jonhoo/rust-imap,,,tag_exact_no_pr,3b6816b73236ec8187e4c3ad6d8f63b85cd7476b,commit_found_no_pr
