root_rustsec_id,root_cve_id,root_target_crate,hop,upstream_crate,upstream_fix_version,upstream_fix_time,downstream_crate,downstream_version,downstream_time,lag_days,dep_req
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,acme-client,0.3.0,2017-02-22 18:39:14.695609 UTC,108,^0.9
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,atarashii_imap,0.3.0,2017-05-16 04:35:19.832153 UTC,191,^0.9.12
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,aws-sdk-rust,0.1.40,2017-02-15 18:22:40.640407 UTC,101,^0.9
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,cargo,0.15.0,2016-12-25 16:00:07.282341 UTC,49,^0.9
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,cookie,0.4.0,2016-11-21 15:59:01.919892 UTC,15,^0.9.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,crypto-hash,0.2.0,2016-11-07 01:29:37.740796 UTC,0,^0.9
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,dockworker,0.0.9,2019-02-14 02:38:00.547262 UTC,829,^0.10
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,frank_jwt,2.5.0,2017-05-16 04:06:13.041307 UTC,191,^0.9.12
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,ftp,3.0.0,2018-02-28 19:37:43.125459 UTC,479,^0.9
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,imap,0.3.1,2017-05-03 01:56:34.963340 UTC,177,^0.9
