rustsec_id,cve_id,severity,target_crate,fix_time,downstream_crates_with_history,affected_edges,locked_out_edges,break_rate_percent,affected_req_exact_pin,affected_req_has_upper_bound,affected_req_caret_0x,affected_req_other,unknown_req_unparseable
RUSTSEC-2016-0001,CVE-2016-10931,HIGH,openssl,2016-11-06 03:11:39.197825 UTC,76,76,68,89,0,0,63,13,0
RUSTSEC-2016-0002,CVE-2016-10932,MEDIUM,hyper,2016-05-09 22:32:27.496119 UTC,305,305,248,81,1,3,244,57,0
RUSTSEC-2017-0001,CVE-2017-1000168,MEDIUM,sodiumoxide,2017-01-26 20:21:04.734248 UTC,33,33,16,48,6,0,11,16,0
RUSTSEC-2017-0002,CVE-2017-18587,MEDIUM,hyper,2017-01-30 18:12:30.568041 UTC,602,601,99,16,3,5,538,55,0
RUSTSEC-2017-0003,CVE-2017-18588,MEDIUM,security-framework,2017-03-15 18:40:43.171170 UTC,9,9,0,0,0,0,8,1,0
RUSTSEC-2017-0004,CVE-2017-1000430,CRITICAL,base64,2017-05-03 06:14:14.791463 UTC,52,52,45,86,0,0,48,4,0
RUSTSEC-2017-0005,CVE-2017-18589,HIGH,cookie,2017-05-07 22:23:10.744907 UTC,24,7,0,0,0,0,6,1,0
RUSTSEC-2017-0006,RUSTSEC-2017-0006,UNKNOWN,rmpv,2019-10-09 20:05:12.752510 UTC,8,8,1,12,0,0,8,0,0
RUSTSEC-2018-0001,CVE-2018-20989,HIGH,untrusted,2018-06-21 19:53:57.960052 UTC,43,43,34,79,0,0,43,0,0
RUSTSEC-2018-0002,CVE-2018-20990,HIGH,tar,2018-06-29 19:40:58.522481 UTC,52,52,2,3,0,0,48,4,0
RUSTSEC-2018-0003,CVE-2018-20991,CRITICAL,smallvec,2018-07-20 17:21:49.659687 UTC,92,80,0,0,0,0,77,3,0
RUSTSEC-2018-0004,CVE-2018-20992,MEDIUM,claxon,2018-08-25 11:23:39.423370 UTC,2,2,0,0,0,0,2,0,0
RUSTSEC-2018-0005,RUSTSEC-2018-0005,UNKNOWN,serde_yaml,2018-09-15 20:15:48.566012 UTC,105,100,94,94,0,0,94,6,0
RUSTSEC-2018-0006,CVE-2018-20993,HIGH,yaml-rust,2018-09-15 19:32:57.874768 UTC,76,76,50,65,0,0,70,6,0
RUSTSEC-2018-0007,CVE-2018-20994,HIGH,trust-dns-proto,2018-10-10 14:05:35.228173 UTC,14,14,12,85,0,0,14,0,0
RUSTSEC-2018-0008,CVE-2018-20995,CRITICAL,slice-deque,2018-12-05 12:13:22.084259 UTC,5,5,0,0,0,0,5,0,0
RUSTSEC-2018-0009,CVE-2018-20996,CRITICAL,crossbeam,2018-07-25 15:45:02.251992 UTC,111,2,0,0,0,0,0,2,0
RUSTSEC-2018-0010,CVE-2018-20997,CRITICAL,openssl,2018-06-02 03:59:46.478806 UTC,168,51,0,0,0,0,39,12,0
RUSTSEC-2018-0011,CVE-2018-20998,CRITICAL,arrayfire,2018-09-27 13:19:00.010614 UTC,4,0,0,0,0,0,0,0,0
RUSTSEC-2018-0012,CVE-2018-20999,HIGH,orion,2018-12-22 21:19:14.102065 UTC,0,0,0,0,0,0,0,0,0
RUSTSEC-2018-0013,CVE-2018-21000,CRITICAL,safe-transmute,2018-11-27 16:58:49.024775 UTC,2,1,1,100,0,0,1,0,0
RUSTSEC-2018-0018,CVE-2018-25023,INFO,smallvec,2019-11-05 16:37:21.384525 UTC,288,286,34,11,0,0,281,5,0
RUSTSEC-2018-0019,CVE-2018-25024,UNKNOWN,actix-web,2018-12-05 15:35:10.990617 UTC,48,48,13,27,2,1,43,2,0
RUSTSEC-2018-0020,CVE-2018-25001,MEDIUM,libpulse-binding,2018-12-22 17:28:30.609040 UTC,2,2,0,0,0,0,0,2,0
RUSTSEC-2018-0021,CVE-2018-25027,UNKNOWN,libpulse-binding,2018-06-15 16:16:38.952973 UTC,2,2,0,0,0,0,0,2,0
RUSTSEC-2018-0022,RUSTSEC-2018-0022,UNKNOWN,temporary,2022-02-20 10:56:31.296891 UTC,1,1,0,0,0,0,0,1,0
RUSTSEC-2019-0001,CVE-2019-15542,HIGH,ammonia,2019-04-27 18:38:04.596123 UTC,8,8,5,62,0,0,1,7,0
RUSTSEC-2019-0002,CVE-2019-15543,CRITICAL,slice-deque,2019-05-07 13:20:53.500437 UTC,7,7,7,100,0,0,7,0,0
RUSTSEC-2019-0003,CVE-2019-15544,HIGH,protobuf,2019-05-19 22:22:00.719361 UTC,133,130,13,10,2,3,0,125,0
RUSTSEC-2019-0004,CVE-2019-15545,HIGH,libp2p-core,2019-05-15 17:14:14.281326 UTC,18,18,0,0,0,0,18,0,0
RUSTSEC-2019-0007,CVE-2019-15549,HIGH,asn1_der,2019-06-13 15:26:10.968851 UTC,4,4,0,0,0,0,4,0,0
RUSTSEC-2019-0008,CVE-2019-15550,HIGH,simd-json,2019-06-24 10:50:48.396368 UTC,0,0,0,0,0,0,0,0,0
